id_produto,id_pedido,id_cliente,ticket_id,data_abertura,data_resolucao,tempo_resolucao_horas,agente_suporte,nota_avaliacao,satisfacao_atendimento,tipo_problema_padronizado,status_ticket,sla_estourado,data_referencia_calculo,nome_cliente,maior_de_idade,nome_produto
PROD-0023,2615435a-4931-408c-bd7a-63c69f55769b,8f7f4e9d-6950-48e6-aa0f-ab027a64ccb1,dfd96874-2b21-5e50-951d-2aaa2d4a5501,2023-01-22T09:34:00.000Z,2023-01-23T22:34:00.000Z,53.0,Mariana Costa,4,alta,Entrega,Resolvido,false,2026-05-18,Natalia Neves,true,Monitor 27 Polegadas
PROD-0497,8f73c6b2-a07a-4e2e-8826-ea34b3e9623e,65474200-e089-49de-9134-9369c8b9f1b4,1ef7fe82-3285-556c-bb68-80228a206a75,2023-01-09T10:48:00.000Z,2023-01-10T11:48:00.000Z,186.4,Juliana Santos,5,alta,Produto,Resolvido,false,2026-05-18,Joana Otero,true,Smartphone Pro Max 512GB
PROD-0021,bd658e9e-b4f4-451f-8b92-5bc5d06bf2f1,48c6af13-83da-48ee-9f78-b51f1fe3b3de,e4673624-650f-5d99-a75f-6e9a3e18d97e,2023-01-09T19:31:00.000Z,2023-01-18T05:31:00.000Z,6.3,Carlos Eduardo Silva,4,alta,Reembolso,Resolvido,false,2026-05-18,Hilton Brito,true,Projetor Full HD
PROD-0037,caac9c84-4a40-435d-96b8-9fc5f2cf3217,a54f533c-910d-4cab-837e-8f38a15daf82,32409fd2-189c-5770-bf6f-114cb06bd5f6,2023-01-23T09:24:00.000Z,2023-01-25T21:24:00.000Z,73.2,Eduardo Cardoso,3,media,Pagamento,Resolvido,false,2026-05-18,Gisele Domingues,true,Webcam Full HD
PROD-0014,ec23350f-c38b-4561-a09b-171637ad8df2,213e40b7-ed4b-4e41-b744-f94a858c3416,3160a17f-181b-588d-8127-ed0949e5317b,2023-01-05T20:07:00.000Z,2023-01-07T20:07:00.000Z,240.0,Diego Carvalho,4,alta,Produto,Resolvido,false,2026-05-18,Otavia Rodrigues,true,Fone de Ouvido com Fio
PROD-0384,bbfab315-e085-4e30-9a7d-8ad47a20699f,11d5608a-e6ca-4f26-a4e7-91b19c17749e,c64da674-3ba3-57b9-95d5-a48103e2ab1e,2023-01-31T12:22:00.000Z,2023-02-10T12:22:00.000Z,32.4,Lucas Pereira,3,media,Entrega,Resolvido,false,2026-05-18,Joana Lopes,true,Pelucia 40cm
PROD-0251,f65a361c-2221-4efa-9030-f9a5d40b8b5e,cde0e957-b73c-489e-8e28-5838f5b91bcc,bb80ef18-82ca-5cf2-be2c-9aa96a5b45b5,2023-01-23T05:32:00.000Z,2023-01-26T01:32:00.000Z,40.5,Mariana Costa,3,media,Entrega,Resolvido,false,2026-05-18,Cecilia Jardim,true,Perfume Masculino 100ml
PROD-0014,44ed585d-675b-4f55-8844-583991a6cff8,b2709f81-3e1d-417f-b347-b01276174216,e3b591cf-6ba3-5120-9f1b-1a9ed85a8a9b,2023-01-27T11:59:00.000Z,2023-02-02T00:59:00.000Z,6.0,Ana Paula Ferreira,4,alta,Pagamento,Resolvido,false,2026-05-18,Carla Silva,true,Fone de Ouvido com Fio
PROD-0100,f89302f2-76b7-4d88-8587-32522951696e,26284601-c11e-496f-946d-5a0dc3247671,20f0c63b-caf2-569b-80d8-f746353c6031,2023-01-29T17:05:00.000Z,2023-02-01T21:05:00.000Z,64.0,Fernanda Lima,4,alta,Pagamento,Resolvido,false,2026-05-18,Paloma Nunes,true,Chinelo Masculino
PROD-0166,5d789557-7984-4bab-a2ac-c46f15afe037,d764a46e-9fd4-4bde-9d8a-3dbd05113504,a73fb39a-d7e9-559b-8f80-a64ae0534fcd,2023-01-26T00:17:00.000Z,2023-01-31T17:17:00.000Z,90.5,Carlos Eduardo Silva,4,alta,Produto,Resolvido,false,2026-05-18,Mariana Oliveira,true,Umidificador de Ar
PROD-0016,03ff41ad-833d-48c3-9feb-862c43a6c978,2f9476a6-c11c-4cc2-bb79-f4aeb29220a6,77b77a01-4fd6-5737-9f52-a788985a0eb9,2023-01-16T13:54:00.000Z,2023-01-18T08:54:00.000Z,72.9,Lucas Pereira,5,alta,Reembolso,Resolvido,false,2026-05-18,Gabriela Leite,true,Caixa de Som Bluetooth
PROD-0040,eb0840ba-6551-4603-a29c-75858ff576f9,db20c6bb-adb6-4668-8541-97bd23716b8e,22571f19-4a2c-5d5e-b68c-6e7747399457,2023-01-05T19:17:00.000Z,2023-01-10T08:17:00.000Z,22.9,Carlos Eduardo Silva,4,alta,Pagamento,Resolvido,false,2026-05-18,Cintia Duarte,true,Drone com Câmera
PROD-0045,13a6bffb-aa69-45e1-bb0c-f75053678aed,dfe3cbfc-937c-48d1-8ef2-04580c547076,8923c345-a46a-5012-81a8-605ffe422e87,2023-01-18T05:05:00.000Z,2023-01-19T14:05:00.000Z,31.2,Ana Paula Ferreira,4,alta,Entrega,Resolvido,false,2026-05-18,Cintia Queiroz,true,Hub USB 7 Portas
PROD-0233,901db4e0-0f2a-40be-bed9-108acb4353d1,e334e53b-5d97-40ef-9120-4dd2e76a1275,479c1525-50f1-5b25-bf88-78559109b229,2023-01-09T07:58:00.000Z,2023-01-16T10:58:00.000Z,6.8,Ana Paula Ferreira,5,alta,Pagamento,Resolvido,false,2026-05-18,Ubirajara Luz,true,Suporte Lombar Esportivo
PROD-0040,1a0635c1-376b-410b-9d9e-31fef30682e6,481d2f66-49c6-4e79-a60a-f6ece4f0b009,6f000c0c-d425-5a13-bdb5-537e39f86163,2023-01-16T09:29:00.000Z,2023-01-20T22:29:00.000Z,28.4,Carlos Eduardo Silva,5,alta,Pagamento,Resolvido,false,2026-05-18,Gustavo Valente,true,Drone com Câmera
PROD-0031,649f735f-e641-43a3-ab4a-224633c92bb0,9371c989-c10e-4aa8-a67a-5844806d27f1,e0c7dbc9-fc32-5641-9edd-54679d368de2,2023-01-10T04:50:00.000Z,2023-01-17T18:50:00.000Z,51.2,Rodrigo Moreira,3,media,Reembolso,Resolvido,false,2026-05-18,Bernardo Alves,true,Capinha de Celular
